date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:05:01	0/0	---M--	302	error ('Found')	application/binary	date:Sat,%2009%20Aug%202025%2021:05:00%20GMT	https://studio.firebase.google.com/studio-8984380873	C:/Users/Administrator/Documents/My%20Games/Talentus/studio.firebase.google.com/studio-8984380873.0.delayed	(from )
18:05:01	0/0	---M--	302	error ('Found')	application/binary	date:Sat,%2009%20Aug%202025%2021:05:01%20GMT	https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://studio.firebase.google.com/studio-8984380873&followup=https://studio.firebase.google.com/studio-8984380873	C:/Users/Administrator/Documents/My%20Games/Talentus/accounts.google.com/ServiceLogin.1408e.delayed	(from )
18:05:01	602/602	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2009%20Aug%202025%2021:05:01%20GMT	https://accounts.google.com/InteractiveLogin?continue=https://studio.firebase.google.com/studio-8984380873&followup=https://studio.firebase.google.com/studio-8984380873&passive=1209600&ifkv=AdBytiOOTISlSR655zI0Nvt908r0ZaI_YaM3cmEW42c01Uq8qiABAyUAqH5yT3HJuDEmPyYs9whM1g	C:/Users/Administrator/Documents/My%20Games/Talentus/accounts.google.com/InteractiveLogin.2ccb7.delayed	(from )
18:05:02	104/104	---MCZ	200	added ('OK')	text/plain	date:Sat,%2009%20Aug%202025%2021:05:02%20GMT	https://accounts.google.com/robots.txt		(from )
18:05:02	610006/610006	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Aug%202025%2021:05:02%20GMT	https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fstudio.firebase.google.com%2Fstudio-8984380873&followup=https%3A%2F%2Fstudio.firebase.google.com%2Fstudio-8984380873&ifkv=AdBytiOwVLXSNL687D7ECwaUwtA7cJBKAvKSqXaVjydscPAmi7MtUL6wl-x4zY7ppYz2LQ0NC2WkaA&passive=1209600&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-953882882%3A1754773501864246	C:/Users/Administrator/Documents/My%20Games/Talentus/accounts.google.com/v3/signin/identifier0727.html	(from )
18:05:03	3240/3240	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Nov%202023%2022:48:00%20GMT	http://ssl.gstatic.com/images/branding/googlelogo/2x/googlelogo_color_74x24dp.png	C:/Users/Administrator/Documents/My%20Games/Talentus/ssl.gstatic.com/images/branding/googlelogo/2x/googlelogo_color_74x24dp.png	(from https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fstudio.firebase.google.com%2Fstudio-8984380873&followup=https%3A%2F%2Fstudio.firebase.google.com%2Fstudio-8984380873&ifkv=AdBytiOwVLXSNL687D7ECwaUwtA7cJBKAvKSqXaVjydscPAmi7MtUL6wl-x4zY7ppYz2LQ0NC2WkaA&passive=1209600&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-953882882%3A1754773501864246)
18:05:03	479771/479771	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Aug%202025%2021:05:03%20GMT	https://accounts.google.com/v3/signin/rejected?continue=https://studio.firebase.google.com/studio-8984380873&dsh=S-953882882:1754773501864246&flowEntry=ServiceLogin&flowName=WebLiteSignIn&followup=https://studio.firebase.google.com/studio-8984380873&ifkv=AdBytiOwVLXSNL687D7ECwaUwtA7cJBKAvKSqXaVjydscPAmi7MtUL6wl-x4zY7ppYz2LQ0NC2WkaA&rhlk=js&rrk=47	C:/Users/Administrator/Documents/My%20Games/Talentus/accounts.google.com/v3/signin/rejected1dfa.html	(from https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fstudio.firebase.google.com%2Fstudio-8984380873&followup=https%3A%2F%2Fstudio.firebase.google.com%2Fstudio-8984380873&ifkv=AdBytiOwVLXSNL687D7ECwaUwtA7cJBKAvKSqXaVjydscPAmi7MtUL6wl-x4zY7ppYz2LQ0NC2WkaA&passive=1209600&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-953882882%3A1754773501864246)
18:05:04	1670/1670	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Aug%202025%2021:05:04%20GMT	https://accounts.google.com/v3/signin/document.location.toString(	C:/Users/Administrator/Documents/My%20Games/Talentus/accounts.google.com/v3/signin/document.location.6.delayed	(from https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fstudio.firebase.google.com%2Fstudio-8984380873&followup=https%3A%2F%2Fstudio.firebase.google.com%2Fstudio-8984380873&ifkv=AdBytiOwVLXSNL687D7ECwaUwtA7cJBKAvKSqXaVjydscPAmi7MtUL6wl-x4zY7ppYz2LQ0NC2WkaA&passive=1209600&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-953882882%3A1754773501864246)
18:05:04	1670/1670	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Aug%202025%2021:05:04%20GMT	https://accounts.google.com/v3/signin/	C:/Users/Administrator/Documents/My%20Games/Talentus/accounts.google.com/v3/signin/index.html	(from https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fstudio.firebase.google.com%2Fstudio-8984380873&followup=https%3A%2F%2Fstudio.firebase.google.com%2Fstudio-8984380873&ifkv=AdBytiOwVLXSNL687D7ECwaUwtA7cJBKAvKSqXaVjydscPAmi7MtUL6wl-x4zY7ppYz2LQ0NC2WkaA&passive=1209600&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-953882882%3A1754773501864246)
18:05:04	1719/1719	---MCZ	400	error ('Bad%20Request')	text/html	date:Sat,%2009%20Aug%202025%2021:05:04%20GMT	https://accounts.google.com/v3/signin/rejected	C:/Users/Administrator/Documents/My%20Games/Talentus/accounts.google.com/v3/signin/rejected.7.delayed	(from https://accounts.google.com/v3/signin/rejected?continue=https://studio.firebase.google.com/studio-8984380873&dsh=S-953882882:1754773501864246&flowEntry=ServiceLogin&flowName=WebLiteSignIn&followup=https://studio.firebase.google.com/studio-8984380873&ifkv=AdBytiOwVLXSNL687D7ECwaUwtA7cJBKAvKSqXaVjydscPAmi7MtUL6wl-x4zY7ppYz2LQ0NC2WkaA&rhlk=js&rrk=47)
